Tree,MC,Timestamp,Port3_RH,Port3_Atmos_pressure,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H
TV3,MC3,2023-06-03T06:15:00Z,0.929,84.92,0.15,18.1,20.9,15,456,0
TV3,MC3,2023-06-03T06:30:00Z,0.923,84.93,0.16,18.4,46,15,455,0
TV3,MC3,2023-06-03T06:45:00Z,0.913,84.93,0.19,18.9,36.1,15,455,0
TV3,MC3,2023-06-03T07:00:00Z,0.897,84.95,0.23,19.4,147.2,15,454,0
TV3,MC3,2023-06-03T07:15:00Z,0.879,84.95,0.28,19.9,274.1,15,452,0
TV3,MC3,2023-06-03T07:30:00Z,0.878,84.97,0.29,20,71.2,15,454,0
TV3,MC3,2023-06-03T07:45:00Z,0.894,84.99,0.25,19.9,71.4,15,454,0
TV3,MC3,2023-06-03T08:00:00Z,0.906,85,0.22,19.9,65.6,15,454,0
TV3,MC3,2023-06-03T08:15:00Z,0.897,85.01,0.24,19.8,262,15,453,0
TV3,MC3,2023-06-03T08:30:00Z,0.896,85.02,0.24,20.1,213,15,453,0
TV3,MC3,2023-06-03T08:45:00Z,0.897,85.03,0.24,20.1,54.9,15,454,0
TV3,MC3,2023-06-03T09:00:00Z,0.912,85.03,0.21,20,67.9,15,454,0
TV3,MC3,2023-06-03T09:15:00Z,0.912,85.04,0.21,20.3,201.4,15,453,0
TV3,MC3,2023-06-03T09:30:00Z,0.902,85.05,0.24,20.9,187.3,15,453,0
TV3,MC3,2023-06-03T09:45:00Z,0.898,85.05,0.25,20.7,223.8,15,453,0
TV3,MC3,2023-06-03T10:00:00Z,0.9,85.05,0.25,21,314.6,15,453,0
TV3,MC3,2023-06-03T10:15:00Z,0.883,85.04,0.3,21.4,255.8,15,453,0
TV3,MC3,2023-06-03T10:30:00Z,0.88,85.04,0.3,21.2,280.9,15,452,0
TV3,MC3,2023-06-03T10:45:00Z,0.898,85.05,0.26,21.1,163.7,15,453,0
TV3,MC3,2023-06-03T11:00:00Z,0.921,85.05,0.19,20.7,126.2,15,454,0
TV3,MC3,2023-06-03T11:15:00Z,0.926,85.03,0.18,20.8,192.3,15,453,0
TV3,MC3,2023-06-03T11:30:00Z,0.915,85.03,0.22,21.3,183.3,15,453,0
TV3,MC3,2023-06-03T11:45:00Z,0.917,85.02,0.21,21.2,241.1,15,453,0
TV3,MC3,2023-06-03T12:00:00Z,0.905,85.01,0.24,21.4,147.4,15,454,0
TV3,MC3,2023-06-03T12:15:00Z,0.922,85.01,0.19,20.9,133.1,15,454,0
TV3,MC3,2023-06-03T12:30:00Z,0.923,84.99,0.19,20.9,84.2,15,454,0
TV3,MC3,2023-06-03T12:45:00Z,0.94,84.97,0.14,20.3,107.5,15,454,0
TV3,MC3,2023-06-03T13:00:00Z,0.94,84.96,0.14,20.4,116.8,15,454,0
TV3,MC3,2023-06-03T13:15:00Z,0.925,84.93,0.19,21.3,266.2,15,453,0
TV3,MC3,2023-06-03T13:30:00Z,0.903,84.92,0.25,21.8,182.4,15,453,0
TV3,MC3,2023-06-03T13:45:00Z,0.905,84.92,0.24,21.4,142.1,15,453,0
TV3,MC3,2023-06-03T14:00:00Z,0.914,84.89,0.22,21.6,229.4,15,453,0
TV3,MC3,2023-06-03T14:15:00Z,0.903,84.86,0.26,21.9,145,15,453,0
TV3,MC3,2023-06-03T14:30:00Z,0.918,84.89,0.21,21.3,112.8,15,453,0
TV3,MC3,2023-06-03T14:45:00Z,0.92,84.9,0.2,21.4,134.8,15,453,0
TV3,MC3,2023-06-03T15:00:00Z,0.912,84.88,0.23,21.6,125.6,15,453,0
TV3,MC3,2023-06-03T15:15:00Z,0.912,84.87,0.23,21.6,141.2,15,454,0
TV3,MC3,2023-06-03T15:30:00Z,0.923,84.86,0.19,21,102.7,15,454,0
TV3,MC3,2023-06-03T15:45:00Z,0.93,84.86,0.17,20.9,50.4,15,455,0
TV3,MC3,2023-06-03T16:00:00Z,0.951,84.86,0.12,20.3,20.1,15,464,4
TV3,MC3,2023-06-03T16:15:00Z,0.965,84.85,0.08,19.9,25.5,15,463,15
TV3,MC3,2023-06-03T16:30:00Z,0.973,84.85,0.06,19.7,25.5,15,458,6
TV3,MC3,2023-06-03T16:45:00Z,0.974,84.87,0.06,19.5,23.6,15,456,0
TV3,MC3,2023-06-03T17:00:00Z,0.975,84.86,0.06,19.4,43,15,455,0
TV3,MC3,2023-06-03T17:15:00Z,0.973,84.89,0.06,19.5,29.7,15,456,0
TV3,MC3,2023-06-03T17:30:00Z,0.97,84.9,0.07,19.4,10.6,15,457,0
TV3,MC3,2023-06-03T17:45:00Z,0.972,84.92,0.06,19.3,9.5,15,495,2
TV3,MC3,2023-06-03T18:00:00Z,0.979,84.92,0.05,19.1,3.1,15,758,15
TV3,MC3,2023-06-03T18:15:00Z,0.984,84.95,0.03,19,0,15,644,15
TV3,MC3,2023-06-03T18:30:00Z,0.989,84.96,0.02,18.9,0,15,582,15
TV3,MC3,2023-06-03T18:45:00Z,0.991,84.97,0.02,18.7,0,15,576,15
TV3,MC3,2023-06-03T19:00:00Z,0.994,84.98,0.01,18.7,0,15,572,15
