Tree,MC,Timestamp,Port3_Atmos_pressure,Port3_RH,Port3_VPD,Port3_Temp,Port1_Solar,Port4_LW_minutes_H,Port4_LWS_Count,Port4_LW_minutes
FB3,MC2,2023-06-03T08:30:00Z,85.77,0.794,0.56,22.4,85.9,0,452,15
FB3,MC2,2023-06-03T08:45:00Z,85.76,0.8,0.54,22.3,89.7,0,452,15
FB3,MC2,2023-06-03T09:00:00Z,85.78,0.815,0.49,21.9,98,0,452,15
FB3,MC2,2023-06-03T09:15:00Z,85.79,0.821,0.48,22.2,275.9,0,452,15
FB3,MC2,2023-06-03T09:30:00Z,85.8,0.831,0.44,21.7,319.9,0,451,15
FB3,MC2,2023-06-03T09:45:00Z,85.79,0.833,0.44,22.1,154.4,0,453,15
FB3,MC2,2023-06-03T10:00:00Z,85.79,0.845,0.4,21.8,249.9,0,453,15
FB3,MC2,2023-06-03T10:15:00Z,85.79,0.85,0.39,21.9,264.6,0,452,15
FB3,MC2,2023-06-03T10:30:00Z,85.79,0.824,0.49,22.8,464.7,0,451,15
FB3,MC2,2023-06-03T10:45:00Z,85.79,0.851,0.39,21.7,217.3,0,453,15
FB3,MC2,2023-06-03T11:00:00Z,85.78,0.857,0.37,21.9,298.5,0,452,15
FB3,MC2,2023-06-03T11:15:00Z,85.78,0.848,0.41,22.3,364.7,0,452,15
FB3,MC2,2023-06-03T11:30:00Z,85.77,0.856,0.38,22,239.7,0,452,15
FB3,MC2,2023-06-03T11:45:00Z,85.75,0.848,0.41,22.4,179.8,0,453,15
FB3,MC2,2023-06-03T12:00:00Z,85.75,0.854,0.4,22.4,277.8,0,452,15
FB3,MC2,2023-06-03T12:15:00Z,85.74,0.855,0.39,22.4,272.5,0,453,15
FB3,MC2,2023-06-03T12:30:00Z,85.72,0.869,0.34,21.8,272.1,0,453,15
FB3,MC2,2023-06-03T12:45:00Z,85.7,0.871,0.34,21.9,247.7,0,453,15
FB3,MC2,2023-06-03T13:00:00Z,85.7,0.871,0.33,21.6,145.9,0,454,15
FB3,MC2,2023-06-03T13:15:00Z,85.67,0.888,0.28,21.2,159.7,0,453,15
FB3,MC2,2023-06-03T13:30:00Z,85.67,0.874,0.33,21.9,296.8,0,452,15
FB3,MC2,2023-06-03T13:45:00Z,85.65,0.873,0.33,21.7,258.7,0,454,15
FB3,MC2,2023-06-03T14:00:00Z,85.64,0.891,0.28,21.4,158.6,0,453,15
FB3,MC2,2023-06-03T14:15:00Z,85.62,0.883,0.3,21.3,125.8,0,454,15
FB3,MC2,2023-06-03T14:30:00Z,85.64,0.878,0.31,21.6,141.4,0,454,15
FB3,MC2,2023-06-03T14:45:00Z,85.65,0.892,0.27,21.3,64.3,0,455,15
FB3,MC2,2023-06-03T15:00:00Z,85.62,0.908,0.23,21.2,254.2,0,451,15
FB3,MC2,2023-06-03T15:15:00Z,85.61,0.876,0.32,21.7,76.9,0,455,15
FB3,MC2,2023-06-03T15:30:00Z,85.6,0.891,0.27,21.2,108.9,0,454,15
FB3,MC2,2023-06-03T15:45:00Z,85.61,0.899,0.25,21,58,0,456,15
FB3,MC2,2023-06-03T16:00:00Z,85.6,0.919,0.19,20.5,47.8,0,457,15
FB3,MC2,2023-06-03T16:15:00Z,85.58,0.93,0.17,20.4,75.4,0,458,15
FB3,MC2,2023-06-03T16:30:00Z,85.59,0.933,0.16,20,42.1,0,459,15
FB3,MC2,2023-06-03T16:45:00Z,85.6,0.938,0.14,19.8,36.3,0,458,15
FB3,MC2,2023-06-03T17:00:00Z,85.6,0.929,0.16,19.7,31.3,0,458,15
FB3,MC2,2023-06-03T17:15:00Z,85.63,0.932,0.16,19.7,24.2,0,459,15
FB3,MC2,2023-06-03T17:30:00Z,85.65,0.944,0.13,19.6,16.3,10,461,15
FB3,MC2,2023-06-03T17:45:00Z,85.65,0.952,0.11,19.6,14.1,15,462,15
FB3,MC2,2023-06-03T18:00:00Z,85.66,0.959,0.09,19.4,6.6,15,465,15
