Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port5_Temp,Port5_VPD,Port5_RH,Port5_Atmos_pressure,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB2,MC2,2023-06-02T07:30:00Z,0.981,17.7,86.03,0.04,17.6,0.03,0.986,86.15,3.3,0,15,633,15,15,596,15
FB2,MC2,2023-06-02T07:45:00Z,0.98,17.8,86.03,0.04,17.8,0.03,0.985,86.15,6.4,0,15,644,15,15,614,15
FB2,MC2,2023-06-02T08:00:00Z,0.977,18.1,86.03,0.05,18,0.04,0.982,86.15,8.1,4.2,15,685,15,15,598,15
FB2,MC2,2023-06-02T08:15:00Z,0.971,18.2,86.04,0.06,18.1,0.05,0.977,86.16,9.5,7,15,658,15,15,604,15
FB2,MC2,2023-06-02T08:30:00Z,0.971,18.4,86.05,0.06,18.2,0.04,0.98,86.17,11.7,8.2,15,648,15,15,623,15
FB2,MC2,2023-06-02T08:45:00Z,0.973,18.4,86.05,0.06,18.2,0.04,0.982,86.18,14.5,10.3,15,627,15,15,644,15
FB2,MC2,2023-06-02T09:00:00Z,0.977,18.4,86.06,0.05,18.3,0.03,0.984,86.18,17.6,12.8,15,635,15,15,618,15
FB2,MC2,2023-06-02T09:15:00Z,0.975,18.5,86.05,0.05,18.4,0.04,0.983,86.17,24.5,17.2,15,606,15,15,591,15
FB2,MC2,2023-06-02T09:30:00Z,0.971,18.6,86.02,0.06,18.6,0.05,0.979,86.14,34.6,25.1,15,589,15,15,596,15
FB2,MC2,2023-06-02T09:45:00Z,0.959,19,86.01,0.09,18.8,0.07,0.968,86.13,52.9,37,15,507,15,15,601,15
FB2,MC2,2023-06-02T10:00:00Z,0.937,19.4,85.99,0.14,19.2,0.11,0.951,86.12,61.9,40.3,15,474,15,15,559,15
FB2,MC2,2023-06-02T10:15:00Z,0.935,19.6,85.98,0.15,19.6,0.14,0.941,86.11,68.1,45.8,15,462,15,15,526,15
FB2,MC2,2023-06-02T10:30:00Z,0.94,19.6,85.98,0.14,19.6,0.13,0.944,86.1,84.8,59.9,15,460,8,15,505,15
FB2,MC2,2023-06-02T10:45:00Z,0.95,19.6,85.99,0.11,19.5,0.1,0.955,86.11,107.3,75.4,15,477,15,15,492,15
FB2,MC2,2023-06-02T11:00:00Z,0.959,19.6,85.99,0.09,19.5,0.08,0.965,86.12,126,80.4,15,473,15,15,483,15
FB2,MC2,2023-06-02T11:15:00Z,0.949,19.9,85.98,0.12,19.7,0.1,0.957,86.1,185.9,97.6,15,466,15,15,475,15
FB2,MC2,2023-06-02T11:30:00Z,0.931,20.4,85.97,0.17,20.2,0.14,0.941,86.1,155.5,101.4,15,460,14,15,469,15
FB2,MC2,2023-06-02T11:45:00Z,0.915,20.7,85.96,0.21,20.5,0.18,0.924,86.09,159.7,107.3,15,456,0,15,464,15
FB2,MC2,2023-06-02T12:00:00Z,0.895,20.8,85.94,0.26,20.6,0.22,0.908,86.06,183.1,101.1,15,455,0,15,458,8
FB2,MC2,2023-06-02T12:15:00Z,0.899,20.8,85.91,0.25,20.6,0.22,0.909,86.04,145.9,96.9,15,454,0,15,455,0
